query,dish_name
mithai jamun,Gulab jamun
Paneer Makhni Biryani,Paneer Makhni Biryani
bhaji banao,Puri Bhaji
bbq chicken wings 4pc,BBQ Baked Chicken Wings 4pc
jeera spicy,Jeera Aloo
overload chicken mighty sandwich protein],Overload Chicken Mighty Sandwich [46g Protein]
sandwich patty bean,Chilli Bean Patty Sandwich
(10cm) veggie classic,Classic Veggie Craver (10cm)
caramel try karna hai,Salted Caramel & Biscuit Crepe
meetha hazelnut,Hazelnut Cold Coffee
chicken peri tikka,Chicken Peri Peri Tikka
blueberry banao,Blueberry 'N White Chocolate Ice Cream
spicy classic,Burger Pizza - Classic Non Veg
lucky,Lucky Da Malai Kofta [Steamed Rice] Bowl
vada sambhar,Vada
kuch plus chahiye,Sausage McMuffin with Egg with protein plus
coconut wala,Coconut vadi
dip,Chicken Platter for 2-Cream & Onion Dip
new,New McSaver Mexican McAloo Tikki
veg keeri,Keri no ras
masaledar avial,Avial
pitha veg,Til Pitha
dessert west,Gud papdi
pani snack,Pani puri
poda,Chhena poda
spicy tandoori,Tandoori Chicken
ketchup tomato,Tomato Ketchup Sachet
arrabbiata banao,Pollo Di Arrabbiata Pasta
something like sandwich,Smoked Chicken Sandwich
non veg pork,Pork Bharta
chicken banao,Mc Crispy Chicken Burger + Mexican Cheesy Fries
tikka spicy,Tandoori Fish Tikka
something native,Go Native Jamun Rabri
punjabi something,Mini Punjabi Samosa [Pack of 3]
want to try cheese,Corn & Cheese
corn,Corn & Cheese Burger + Fries (R)
Tadka Dal Yellow,Yellow Dal Tadka
fiery & paprika pizza,Fiery Jalapeno & Paprika Pizza
meetha makhani,Dal Makhani Mini Rice Bowl + Butter Paneer Mini...
something like americano,Ice Americano Coffee
kuch sprite chahiye,Sprite
spicy favorite,Fam's Favorite Matar Paneer - Feast Thali
kuch masor chahiye,Masor tenga
mutton signature rice bowl,Mutton Kheema Signature Rice Bowl
pepsi spicy,Pepsi Glass
something like spiced,Cajun Spiced Fries
pappu like something,Pappu Rice Bowl
& pita with olives,Hummus & Pita with Olives
meetha khichdi,Ghee Podi Khichdi
veg rabir,Rabri
biryani spicy,Paneer Biryani Bowl
2 crispy veggie burgr + 2 fries + veg pizza mcpuff,2 Crispy Veggie Burger  + 2 Fries (M) + Veg Pizza McPuff
surprise spicy,Chicken Surprise Burger + Fries (M)
),Beetroot Cheese Chops ( Vegan )
something amercano,Barreled Plum Americano
tandoori flavour dip - gm,Tandoori Flavour Dip - 20 gm
brown rice dish,Brown Rice
kuch kuzhi chahiye,Kuzhi paniyaram
pizza paradise,Veggie Paradise Pizza
di dal makhani [paratha] bowl,Pind di Dal Makhani [Paratha] Bowl
Mom Style Aloo Matar - Everyday Thali,Mom Style Aloo Matar - Everyday Thali
meetha [masala,NH1 Dhaba Egg Curry [Masala Rice] Bowl
shooting star ice cream,Shooting Star Ice Cream (Tub)
cappuccino small hazelnut,Cappuccino Small with Hazelnut
spicy binge,Peri Peri Binge Watch combo
korean shake shake chiccken 6 pc,Korean Shake Shake Chicken Nuggets 6 pc
korean thai roll chicken meal,Korean & Thai Roll Chicken Meal
meetha mcspicy,McSpicy Paneer Burger Combo
ice creme coffee roasted,Roasted Coffee Creme Ice Cream
chicken banao,Chicken Seekh Kebab
biryani like something,Chef's Special Paneer Biryani Thali
model town chicken [steamed rice] bowl,Model Town Kadhai Chicken [Steamed Rice] Bowl
shake shake fries (m).,Korean Shake Shake Fries (M).
chak hao,Chak Hao Kheer
chicken mcspicy pc 1,1 Pc McSpicy Fried Chicken
super value deal : 2 medium non-veg pizzas starting rs 749 (save upto 39%).,Super Value Deal : 2 Medium Non-Veg Pizzas starting at Rs 749 (Save Upto 39%).
(Regular) Fries,Fries (Regular)
chilli spicy,Chilli Paneer Sizzle
veggie spicy,Veggie Feast
veg pizza,Bold BBQ Veggies
bachelor - biryani chicken,Chicken Dum Biryani - Bachelor
kuch butterscotch chahiye,Butterscotch Mousse Cake
mcaloo tikki burger veg pizza mcpuff + fries (r),McAloo Tikki Burger + Veg Pizza McPuff + Fries (R)
kuch andhra chahiye,Andhra Veg Meals (For 2)
bowl rice lababdar,Paneer Lababdar Rice Bowl
sawul banao,Bora Sawul
Wheat Pav Wth Sprout Bhaji,Wheat Pav With Sprout Bhaji
party combos [free thums up & choco lava worth ...,Any 2 Biryanis [FREE Choco Lava Cake]
mcveggie banao,Burger Combo for 2: McVeggie Burger
pizzaiola try karna hai,Chicken Pizzaiola
hallwa,Sohan halwa
meetha korean,Korean Sweet Chilli Dip
chicken veg non,Chicken Tikka
day veg combo @rs. 110 off,Match Day Veg Combo @Rs. 110 off
sachet chilli,Chilli Sauce Sachet
soomething like hyderabadi,Hyderabadi Chicken Tikka Biryani Bowl
barbeque mini rice bowl,Barbeque Chicken Mini Rice Bowl
bbq veggies pizza - medium,Bold BBQ Veggies Pizza - Medium
(tub) like something,Bavarian Chocolate Ice Cream (Tub)
amritsari try karna hai,Amritsari Chole Rice Bowl
classic - burger chicken,Chicken Zinger Burger - Classic
chicken fried rice - (500 ml).,Chicken Fried Rice - Half (500 ml).
dish maharashtra,Dalithoy
spicy latte,Cafe Latte
west khaana,Vindaloo
salted caramel mousse,Salted Caramel Choco Mousse
peri peeri chicken wings,Peri Peri Chicken Wings
piri piiri spice,Piri Piri Spice Mix
veg,Veg Chilli Garlic Noodles Bowl.
kuch farmer's chahiye,Farmer's Pick Pizza
sipper- 500 ml,Coromandel Sipper- 500 Ml
rabdi,Dry Fruit Rabdi
meetha surprise,Chicken Surprise Burger + Cold Coffee
combo tikki mcaloo,McAloo Tikki Burger Combo
egg curry feast thali + 3 mini samosas,Homestyle Egg Curry Feast Thali + 3 Mini Samosas
mcchicken burger protein plus + 4 pc chicken + coke zero,McChicken Burger Protein Plus + 4 Pc Chicken Nuggets + Coke Zero
biryani mughal paneer chef's,Chef's Special Paneer Mughal Biryani
black currant ice cream prepack 450ml),Black Currant Ice Cream (Family Prepack 450ml)
ultimate try karna hai,Ultimate Spinach Pizza
chicken,Chicken Lababdar Rice Bowl (Protein-34g)
protein] spicy,Chicken Peri Peri Boss Bowl [74g Protein]
want to try zinger,Veg Zinger Burger with Cheese
oh-so-cheesy (new launch),8-Cheese Spinach Mushroom Pizza
cheesiken tomato tangy mini,Mini Tangy Tomato Cheesiken Rice
kuch combo chahiye,Rice & Bites combo
punjabi,Punjabi Kadhi Pakoda [Steamed Rice] Bowl
something like ice,Chocolate Mousse Royale Ice Cream (Small Scoop)
meetha jalapeno,Korean Corn & Jalapeno Garlic Bread
sweet hadno,Hando Guri
dal khihcdi,Deccan Dal Khichdi
bread garlic paneer makhani,Makhani Paneer Tikka Garlic Bread
kuch mayo chahiye,Mayo Dip
something like lababdar,Paneer Lababdar Rice Bowl
whole wheat paratha ( 1,Whole Wheat Paratha ( 1 No)
veg shufta,Shufta
kuch mcaloo chahiye,McAloo Tikki Burger with Cheese
cream something,Butterscotch Ribbon Ice Cream (Regular Scoop)
something like mccheese,McCheese Chicken Burger Protein Plus (2 Slices)
kuch panna chahiye,Aam Panna
sandwich spicy,Paneer Tikka Sandwich
spicy mexican,Mexican McAloo Tikki Burger
tiramisu banao,Tiramisu Doughnut Cake
kuch chawal chahiye,Chole Chawal Mini Bowl + Rajma Chawal Mini Bowl
nh1 special aloo steamed rice bowl,NH1 Special Aloo Palak Steamed Rice Bowl
kuch (330 chahiye,Coolberg Non Alcoholic Beer -Cranberry (330 Ml)
want to try burger,Mexican Corn and Cheese Burger + Coke (M).
mal,Egg Curry and Rajma Meal
gulab banao,Gulab jamun
fruit spicy,Dry Fruit Rabdi
crispy veggie bugrer + fries (l) + 2 coke,2 Crispy Veggie Burger  + Fries (L) + 2 Coke
bowl sambar,Sambar Rice Bowl
vanilla like something,Vanilla Ice Cream.
meetha matar,Aloo matar
mini bowls,Good'ol Butter Chicken Mini Rice Bowl
idea course main,Pakhala
tadka bowl,Tadka Curd-Rice Bowl
khichdi like something,Curd Rice Dal Khichdi
[multigrain] wala,Fiery Chicken Pizza [Multigrain]
spicy mcspicy,McSpicy Premium Burger Chicken Combo
something like chicken,4 Chicken Wings + 2 McSpicy Fried Chicken + 2 Coke + 2 Dips
mcflurry oreo ( ),Mcflurry Oreo ( S )
somehting nachos,Nachos + Coke Combo @ Rs.49
zinger wala,Night Shift Zinger Pro Meal
bbq grilled chicken boneless [64g,BBQ Grilled Chicken Boneless [64g Protein]
boneless try karna hai,Andhra Pepper Chicken Boneless
chicken spicy,Chicken Tikka Masala Biryani
cream.(small wala,Three Cheers Chocolate Ice Cream.(small Scoop)
classic something,Classic Chicken Krisper Burger Combo
paradise banao,Veggie Paradise Pizza
achari do pyaza cehese burst,Achari Do Pyaza Cheese Burst
want to try [masala,Townhall's Kadhai Paneer [Masala Rice] Bowl
want to try fries,Korean Mc Aloo Tikki Burger+ Korean Shake Shake Fries (M)
burger veg combo.,McCheese Burger Veg Combo.
mohanthal banao,Mohanthal
peri peri chicken leg piece - pc,Peri Peri Chicken Leg Piece - 1 pc
popcorn spicy,Popcorn Chicken Rice Bowl - Biryani Style
want to try fries,Gold Edition - Chicken Zinger Burger & Fries
snack kachori,Lilva Kachori
bread tikka chicken,Chicken Tikka Garlic Bread
bengali food,Maach Jhol
something can,Coke Can
5 leg pc & pepsi combo,5 Leg Pc & Pepsi Bottle Combo
tadka spicy,Dal tadka
dinner paneer,Shahi paneer
want to try chicken,The 5 Chicken Feast Cheese Burst
starter try karna hai,Any 2 Rice Bowls + Any Starter [FREE Coke & Cho...
konir lunch,Konir Dom
meal for 2: pepper bbq chicken & spiced double,Meal for 2: Pepper BBQ Chicken & Spiced Double Chicken
dish coconut desiccated,Coconut vadi
shukto spicy,Shukto
veg guri,Hando Guri
homestyle yellow dal - meal,Homestyle Yellow Dal - Light Meal
meal for veg ceesy pizza,Meal for 4: Veg Cheesy Pizza
jammu & kashmir dish,Dum aloo
meetha naughty,Naughty Nutella Ice Cream (Tub)
want to try alphonso,Alphonso Mango Ice Cream (Family Prepack)
[paratha] rajma delhi-6,Delhi-6 Rajma [Paratha] Bowl
something like surprise,McSaver Korean Chicken Surprise Burger.
millet like something,Millet Dal Khichdi Bowl - Healthy
mexican grilled chicken & cheese + fries (m),Mexican Grilled Chicken & Cheese Burger + Fries (M)
classic wala,Classic Rajma Mini Rice Bowl
something bounty,Bounty
naughty nutella ice cream scoop),Naughty Nutella Ice Cream (Small Scoop)
bowl rice chicken ghee,Ghee Roast Chicken Rice Bowl
meal 2: veg paradise & farhmouse,Meal for 2: Veg Paradise & Farmhouse
veg amit,Amti
kuch petha chahiye,Petha
5 course: triple chicken & fiery rice meal with chicken pops,5 Course: Triple Chicken Hot & Fiery Rice Meal with Chicken Pops
paneer spicy,Fiery Paneer Tikka Garlic Bread
tandoori,Tandoori Chicken
aloo banao,Aloo gobi
Dom Konir,Konir Dom
combo cold,Cold Coffee  Combo
mozzarella spicy,Peri-Peri Chicken & Mozzarella Wrap
broad baen and stem donne biriyani (gluten free),Broad Bean And Lotus Stem Donne Biriyani (gluten Free)
adhirasam banao,Adhirasam
5 Cousre Meal: Classic Pizza,5 Course Meal: Classic Pizza
vegetaian thayir,Thayir sadam
peri peri grilled chicken wings protein],Peri Peri Grilled Chicken Wings [50g Protein]
want to try caramel,Salted Caramel & Biscuit Crepe
pesto,Pesto & Chicken Honest Salad [43g - High Protein]
combo zinger classic,Classic Zinger Mojito Combo
makhani spicy,Purani Dilli Paneer Makhani [Masala Rice] Bowl
chicken like something,Herb Grilled Chicken Boneless [64g Protein]
delhi-6 rajma [steamed bowl,Delhi-6 Rajma [Steamed Rice] Bowl
broccoli,Broccoli & Rocket Feta Pizza
pizza tikki corn,Corn Tikki Pizza (jain)
something chicken,Chicken Surprise Burger Combo
tandoori chicken wins [6,Tandoori Chicken Wings [6 Pcs]
7up try karna hai,7UP Can 300 ml
kake butter chicken [paratha] bowl,Kake Da Butter Chicken [Paratha] Bowl
330ml zero cola coca,Coca Cola Zero Sugar 330ml
frappe,Mocha Frappe
palak paneer light meal,Palak Paneer - Light Meal
popcorn try karna hai,2 x Medium Chicken Popcorn
off,Special Party for 2 (Non-Veg) @Rs. 115 off
2 veg longer burger & 2 reusable,2 Veg Longer Burger & 2 Pepsi Reusable
keerai dinner,Keerai poriyal
noodles banao,Veg Chilli Garlic Noodles Bowl
& crispy chicken- 2 pcs,Hot & Crispy Chicken- 2 pcs
spicy (regular),Fries (Regular)
poha snack,Poha
hot try karna hai,Hot Chocolate (R)
kuch strawberry chahiye,Very Berry Strawberry Ice Cream (Regular Scoop)
corn & cheese burger + (r),Corn & Cheese Burger + Fries (R)
kids bithday pizza with chocolate cake (pack of 5),Kids Birthday Pizza Party with Chocolate Cake (pack of 5)
khaman nashta,Khaman
iced + croissant butter,Butter Croissant + Iced Coffee
pack wala,Pack of 4 Dips
chicken like something,Korean Mc Spicy Chicken Burger +Korean Yuzu- Pop Sprite Combo
bites roast paneer,Paneer Ghee Roast Bites
break like something,Take a break Combo
garlic like something,Pepper Garlic Chicken Wings [6 Pcs]
meal light chicken masala,Masala Chicken - Light Meal
aloo dinner,Aloo matar
meetha halvasan,Halvasan
spicy tadka,Dal tadka
masaledar bhaji,Puri Bhaji
something rice,Butter Paneer Masala Ghee Rice Bowl
something like (r),Latte Coffee (R)
gulab jamun (pack 5),Gulab Jamun (Pack of 5)
mcaloo tikki burger protein plus+ corrn coke zero,McAloo Tikki Burger Protein Plus+ Corn + Coke Zero
something like truffeld,Stuffed Garlic Bread With Truffled Oyster Mushroom
biryani like something,Tangdi Chicken Biryani Bowl
kuch beetroot chahiye,Beetroot Cheese Chops ( Vegan )
lunh paravannam,Paravannam
pcs) (2 jamun gulab,Ghee Gulab Jamun (2 Pcs)
kuch mccrispy chahiye,McCrispy Chicken Burger Protein Plus + 4 Pc Chicken Nugget + Coke Zero
pizza tandoori indi,Indi Tandoori Paneer Pizza
meetha southern,Grilled wings Southern Spice
meetha italian,Italian Cheese Garlic Bread
californian wala,Roasted Californian Almond Ice Cream (Regular Scoop)
poornalu sweet,Poornalu
mcaaloo,McAloo Tikki Burger NONG.
kuch phirni chahiye,Phirni
light main course,Chicken Varuval
Pepsi Black Can 300 ml,Pepsi Black Can 300 ml
want to try raisin,Cinnamon Raisin Cookie
bhaji pull apart,Pav Bhaji Pull Apart
chocolate ice creams,Chocolate Almond Praline Ice Cream
teekha khamani,Sev khamani
chicken wings - 4 pcs,Hot Chicken Wings - 4 pcs
moong wala,Moong Dal Halwa
Korean Shake Shake Fries (M).,Korean Shake Shake Fries (M).
khichdi rice curd,Curd Rice Dal Khichdi
spicy vegetarian non,Konir Dom
bachelor - dum veg,Veg Dum Biryani - Bachelor
laura & basil pesto sandwich),Laura (Mozza & Basil Pesto Sandwich)
andhra non-veg meals (for,Andhra Non-veg Meals (For 1)
something punjabi,Mini Punjabi Samosa [Pack of 3]
dessert light,Laddu
chicken spicy,The 5 Chicken Feast Pizza
Dal Makhani - Feast Thali,Dal Makhani - Feast Thali
whole,Whole Wheat Paratha ( 1 No)
rajma rice bowl,Rajma Mini Rice Bowl
spicy sandwich,Veg Shammi Sandwich
something (330,Coolberg Non Alcoholic Beer -Strawberry (330 Ml)
meetha virgin,Virgin Pina Colada
korean tangy roll,Korean Tangy Chicken Roll
pizza feast 5 the,The 5 Chicken Feast Pizza
(regular like something,Alphonso Mango Ice Cream (Regular Scoop)
cream try karna hai,Pralines 'N Cream Ice Cream (Small Scoop)
methi course main,Aloo methi
sipcy chicken,Double Chicken Roll
makhani corn & garlic bread,Makhani Corn & Jalapeno Garlic Bread
fillets fish with something,Tandoori Fish Tikka
chaana veg burger - 2 pc,Chatpata Chana Veg Burger - 2 pc
something butter,Kake Da Butter Chicken [Paratha] Bowl
chicken spicy,Chicken Kheema Rice Bowl
crispy veggie burger mcaloo tikki,Crispy Veggie Burger + McAloo Tikki
cheesy try karna hai,Cheesy Dip
kuch paneer chahiye,Peppy Paneer Pizza
Fiesta Mexican,Mexican Fiesta
something shawarma,Classic Chicken Shawarma Bowl
mcchicken wala,McChicken Burger + Fries (M)
zinger burger - classic with cheese,Chicken Zinger Burger - Classic with Cheese
Nuggets Chicken Pc 9,9 Pc Chicken Nuggets
slice),McSpicy Premium Chicken Burger Protein Plus (1 Slice)
latte,Iced Spanish Latte
east style food,Chingri Bhape
cotton candy ice cream prepack),Cotton Candy Ice Cream (Family Prepack)
dessert idea,Modak
thayir veg,Thayir sadam
Jello Mello Ice Cream (Small Scoop),Jello Mello Ice Cream (Small Scoop)
comfort thalis,Ghee Toor Dal Khichdi Thali
veg something,Veg Parcel
protein] like something,Herb Chicken Mighty Bowl [74g Protein]
chicken banao,Chicken Hakka Noodles - Half (500 ml).
flavour dip - 20 gm,Tandoori Flavour Dip - 20 gm
light main course,Bilahi Maas
pepper chicken,Pepper Barbecue Chicken
something mexican,Mexican McAloo Tikki with Cheese
pani wala,Pani puri
want to try krisper,2 Classic Chicken Krisper Burgers
classic spicy,Classic Chicken Masala Rice Bowl + 3 Mini Samosas
gulab sweet,Gulab jamun
egg & cheese mcmuffin plus meal,Egg & Cheese McMuffin Protein Plus Meal
6 pc chicken + mcchicken burger + coke,6 Pc Chicken Nuggets + McChicken Burger + Coke
Coek (250 mL),Coke (250 mL)
teekha paneer,Kadai paneer
paratha try karna hai,Corn n Cheese Paratha Pizza
kuch mexican chahiye,Mexican Corn & Cheese Burger Combo (M).
want to try chawal,Kadhi Chawal
kaju,Kaju katli
gulab try karna hai,Malai Makhani Kofta Rice Bowl + Gulab Jamun
pizza spicy,Pig Out Pizza
koftha,Malai Koftha
kuch broccoli chahiye,Broccoli & Rocket Feta Pizza
mcchicken spicy,McChicken Burger + Fries (M)
garlic like something,Classic Stuffed Garlic Bread
meetha chicken,Andhra Style Chicken Biryani
something likke methi,Methi na Gota
chicken,Chicken Lover's Bucket
east style food,Pantua
mexican corn cheese burger + fries (m),Mexican Corn & Cheese Burger + Fries (M)
guri veg,Hando Guri
garden pizza,Garden Fresh Pizza
chicken banao,Chicken Chilli Garlic Noodles Bowl.
meetha pitha,Til Pitha
hando mithai,Hando Guri
tandoori grilled tikka [46g protein],Tandoori Grilled Paneer Tikka [46g Protein]
curry wala,Egg Curry
meetha prepack),Cotton Candy Ice Cream (Family Prepack)
veg khichu,Khichu
Palak Masoor Dal,Palak Masoor Dal
dhokla snack,Dhokla
latte,Spanish Latte
hop butterscotch ice cream (small scoop),Hop Scotch Butterscotch Ice Cream (Small Scoop)
something with palak,Palak paneer
spicy kuzhambu,Kuzhambu
chicken banao,Hot & Crispy Chicken - 1 pc
alphonso spicy,Alphonso Mango Ice Cream (Small Scoop)
mughal tangdi chicken double,Double Chicken Tangdi Mughal Biryani
mughal paneer special chef's,Chef's Special Paneer Mughal Biryani
egg & cheese - sandwich,Egg & Cheese McMuffin - Sandwich
chicken banao,Ghee Roast Chicken Rice Bowl
spicy midnight,Midnight Spicy Zinger & Popcorn Meal
eggless dutch truffle cake,Eggless Dutch Truffle Cake [1kg]
meetha [paratha],NH1 Dhaba Egg Curry [Paratha] Bowl
schezwan spicy,Schezwan Chicken Dry - Full
chicken surprise burger + 4 pc chciken mcnuggets + coke,Chicken Surprise Burger + 4 Pc Chicken McNuggets + Coke
tikki burger + veg pizza mcpuff + coke,McAloo Tikki Burger + Veg Pizza McPuff + Coke
Mexican Feista,Mexican Fiesta
mango spicy,Mango  Shake
tadka like something,Dal Tadka Mini Rice Bowl
food rice brown,Brown Rice
something chicken,Chicken Pepperoni Pizza - Medium
punjabi kadhi [steamed rice] bowl,Punjabi Kadhi Pakoda [Steamed Rice] Bowl
bottle wala,Coca Cola Bottle (475 mL)
main course vindaloo,Vindaloo
classic spicy,Classic
Korean Tangy Roll & Popcorn Chicken Meal,Korean Tangy Roll & Popcorn Chicken Meal
chak,Chak Hao Kheer
na gota,Methi na Gota
grilled chicken & cheese burger combo (m).,Mexican Grilled Chicken & Cheese Burger Combo (M).
chhena dessert,Chhena jalebi
something like brownie,Hot Fudge Brownie Sundae
something starter,Any 2 Rice Bowls + Any Starter [FREE Coke & Cho...
chicken,Chicken Chilli Garlic Fried Rice Bowl
punjabi try karna hai,Mini Punjabi Samosa [Pack of 3]
Classic Chicken Pepperoni & Onion,Classic Chicken Pepperoni & Onion
meal roll tandoori indian,Indian Tandoori Roll Chicken Meal
onion & pepperoni chicken,Classic Chicken Pepperoni & Onion
meetha makhani,Malai Makhani Kofta Rice Bowl + Gulab Jamun
cappuccino,Blonde Cappuccino
Korean Mc Aloo Tikki Burger Combo (M).,Korean Mc Aloo Tikki Burger Combo (M).
Veg Pizza McPuff + Choco Crunch Cookie + Ameericano,Veg Pizza McPuff + Choco Crunch Cookie + Americano
spicy paneer,Peppy Paneer Pizza
spicy razala,Chicken razala
kuch meal chahiye,Butter Dal Makhani Light Meal + Aloo Matar Masa...
lunch red,Red Rice
meetha vadi,Coconut vadi
scoop) cream.(small ice tender,Tender Coconut Ice Cream.(small Scoop)
Litti chokha,Litti chokha
something mcchicken,Mc Crispy Chicken Burger + McChicken Burger + Fries (M)
ml,7UP Can 300 ml
dhokli vegetarian,Daal Dhokli
spiyc tandoori,Tandoori Loaded Chicken Parcel
sambar dal,Sambar Dal Khichdi
tandoori wala,Tandoori Loaded Paneer Parcel
kheer,Nizami Kheer
chicken chunks dish,Chicken Varuval
cream ice currant,Black Currant Ice Cream
korean shake shake nuggets 6 pc,Korean Shake Shake Chicken Nuggets 6 pc
Chicken Masala Curry Feast Thali + Masala Chaas,Chicken Masala Curry Feast Thali + Masala Chaas
sunday curry - everyday thali,Sunday Paneer Curry - Everyday Thali
cheese something,Fries with Cheese Dip
spicy baguette,French Baguette [140g]
[eligible spicy,4 Value Biryanis @ 499 [Eligible for coupons too]
want to try can,Coke - 300ml Can
chessy,Chessy Mania Margherita Pizza Box
Basket Hamper Gift Luxury,Luxury Gift Hamper Basket
kakinada,Kakinada khaja
want to try chicken,Four Cheese Forest Chicken Pizza
night shift zinger pro,Night Shift Zinger Pro Meal
dream spicy,Thai Roll Dream meal
chicken spicy,Double Chicken Roll Combo
chicken banao,Dhaba Chicken Mughal Biryani
2 oreo (s),2 McFlurry Oreo (S)
tandoori chicken wings pcs),Tandoori Chicken Wings (12 Pcs)
Mexican Cheesy Fries,Mexican Cheesy Fries
chicken shawarma bowl,Classic Chicken Shawarma Bowl
Dip Pepper Jalapeno,Jalapeno Pepper Dip
mcsaver wala,New McSaver McAloo Tikki
course main sour,Keri no ras
veg,Big Big 6in1 Pizza - Non Veg
something cotton,Cotton Candy Ice Cream Rocks
something (m).,Korean Mc Spicy Chicken Burger Combo (M).
biryani spicy,Dum Aloo Biryani Thali
chawal try karna hai,Chole Chawal Mini Bowl + Rajma Chawal Mini Bowl
spicy bhature,Chole bhature
angoori wala,Angoori Jamun (12 Nos)
smoky pizzza,Smoky Buratta Pizza
something like biryani,Paneer Biryani Bowl
- burgers krisper veg,Veg Krisper Burgers - 2pc
chicken spicy,Peri Peri Chicken Leg Piece - 1 pc
chicken like something,Peri Peri Chicken Wings
millet dal kichdi meal - healthy,Millet Dal Khichdi Meal - Healthy
pizza veg,Diavola Veg Pizza
something sausage,Sausage & Sweet Corn.
chicken biryani bowl,Chicken Dum-Pukht Biryani Bowl
kuch spiced chahiye,Cajun Spiced Fries with Dips
kuch choco chahiye,Choco Lava Cake
kuch vegetable chahiye,Kadai Vegetable
something like paneer,Palak Paneer - Feast Thali
roti dinner,Misi roti
garlic burst pizza (reg),Garlic Chicken Burst Pizza (Reg)
hazelnut with regular classic,Classic Coffee Regular with Hazelnut
hashbrown like something,Hashbrown + Cold Coffee
spicy theeyal,Theeyal
something like mexican,Mexican Grilled Chicken Cheese Burger + Coke (M)
desssert idea,Sandesh
kuch veggies chahiye,"Pesto & Veggies Hearty Salad [512 Kcal, Low Cal..."
something cheesy,Motu Patlu Kids Cheesy Corn Pizza Party
espresso shaken iced,Pecan Iced Shaken Espresso
chicken something,Tandoori Grilled Chicken Wings [50g Protein]
east main course,Chingri malai curry
kuch cappuccino chahiye,Iced Cappuccino
course main light,Misi roti
pcs] tikka paneer classic,Classic Paneer Tikka [10 Pcs]
meetha boneless,Herb Grilled Chicken Boneless [64g Protein]
mcveggie something,McVeggie Burger Happy Meal
chilli garlic noodles - half (500 ml).,Veg Chilli Garlic Noodles - Half (500 ml).
healthy dessert,Dudhi halwa
mcflurry oreo s ).,Mcflurry Oreo ( S ).
chocolate something,Bavarian Chocolate Ice Cream
brown course main,Brown Rice
chilli chicken,Chilli Chicken Bowl
tomatoes something,Stuffed Garlic Bread with Sun-dried Tomatoes
(m).,Korean Mc Spicy Premium Chicken Burger Combo (M).
combo pcs mcnuggets chicken,Chicken McNuggets 6 Pcs Combo
paneer something,Kadai paneer
veg something,Veg Rice Bowl - Biryani Style
spicy (regular,Splish Splash Ice Cream (Regular Scoop)
pepperoni thin n crispy,Chicken Pepperoni Thin n Crispy
poha try karna hai,Poha
sandwich) banao,Jacques (Butter Garlic Prawns & Aioli Sandwich)
kuch dhabe chahiye,Dhabe Da Keema
kuch cheesy chahiye,Motu Patlu Kids Cheesy Corn Pizza Party
petha like something,Petha
south man course,Avial
cookie crunch,Choco Crunch Cookie
flat almond blonde,Blonde Almond Flat White
pizza mcsaver new,New McSaver Pizza McPuff
spicy capsicum,"Paneer, Onion & Capsicum with Desi Makhani Sauce"
meetha chicken,Four Cheese Forest Chicken Pizza
mexican spicy,Mexican Grilled Chicken Cheese Burger + Coke (M)
indulgence hamper basket (eggless),Indulgence Gift Hamper Basket (Eggless)
stuffed garlic breads,Corn And Cheese Stuffed Garlic Bread
someething mcspicy,McSpicy Deluxe Chicken Burger Combo
meetha gulab,Gulab Jamun Minis Box [100 gm]
chicken curry - light meal,Sunday Chicken Curry - Light Meal
course main light,Bengena Pitika
). m ( oreo,McFlurry Oreo ( M ).
want to try sandwich,Funwich Cookie Sandwich (90ml)
meatball spicy,Chicken Meatball Kebab (5 Pcs)
Trioccino Frappe,Trioccino Frappe
mushrooms & cheese sandwich [24g protein],Pesto Mushrooms & Cheese Sandwich [24g Protein]
Pizza Paneer Peppy,Peppy Paneer Pizza
mexican grilled chicken & cheese,Mexican Grilled Chicken & Cheese Burger
sausage mcmuffin +,Sausage McMuffin + Hashbrown
meetha classic,Classic Zinger Mojito Combo
something mcspicy,Veg Pizza McPuff + McSpicy Chicken Burger
mornings value and mcbreakfast,Hashbrown + Cold Coffee
paneer,Paneer Ghee Roast Bites
ml] [200 masala,Masala Chaas [200 ml]
punjjabi kadhi pakoda rice] bowl,Punjabi Kadhi Pakoda [Steamed Rice] Bowl
volcano blazing chicken,Cheese Volcano Blazing Chicken
lunch konir,Konir Dom
5 pc & pepsi bottle combo,5 Leg Pc & Pepsi Bottle Combo
kuch ice chahiye,Salted Caramel Ice Cream
qubani,Qubani ka meetha
strawberry like something,Very Berry Strawberry Ice Cream (Regular Scoop)
kuch vietnamese chahiye,Vietnamese Style Iced Coffee
mexican range & new offerings,Korean Chicken Surprise Burger Combo (M)
moogn dal,Moong Dal Halwa
paneer tikka stuffed berad,Paneer Tikka Stuffed Garlic Bread
(m),Mexican Grilled Chicken & Cheese Burger Combo (M)
meetha popcorn,Salted Butter Popcorn Ice Cream (Small Scoop)
want to try regular,Chicken Popcorn - Regular
meetha gatta,Gatta curry
kadhi pakoda mini bowl,Kadhi Pakoda Mini Rice Bowl
teekha butter,Butter chicken
north main course,Aloo shimla mirch
dinner keerai,Keerai kootu
mint milk chocolate chips cream (small scoop),Mint Milk Chocolate Chips Ice Cream (Small Scoop)
homestyle egg curry feast thali + mini samosas,Homestyle Egg Curry Feast Thali + 3 Mini Samosas
